Timestamp,ServiceCategory,MarketingChannel,Revenue,AdSpend,Conversions,CustomerType,Category,day_name,day_of_week,date,MonthName,Year,hour_12,ROI,Revenue_per_Conversion,Is_Ad,Is_Converted,Spend_Level,hour
2023-07-20 12:00:00,Service,Instagram,27.41,7.22,1,New,Basic,Thursday,3,2023-07-20,July,2023,12 PM,2.796398891966759,27.41,True,True,Low,12
2023-10-05 16:00:00,Product,Online,154.71,0.0,0,Returning,Premium,Thursday,3,2023-10-05,October,2023,04 PM,154.71,154.71,False,False,Low,16
2023-12-22 15:00:00,Service,Instagram,136.95,11.84,3,New,Basic,Friday,4,2023-12-22,December,2023,03 PM,10.566722972972972,45.65,True,True,Medium,15
2023-06-18 12:00:00,Product,In-Store,151.64,0.0,0,Returning,Discounted,Sunday,6,2023-06-18,June,2023,12 PM,151.64,151.64,False,False,Low,12
2023-07-22 13:00:00,Product,Google Ads,15.54,18.82,1,New,Basic,Saturday,5,2023-07-22,July,2023,01 PM,-0.17428267800212546,15.54,True,True,Medium,13
2023-02-24 21:00:00,Product,Facebook,183.62,21.99,1,New,Basic,Friday,4,2023-02-24,February,2023,09 PM,7.350159163256026,183.62,True,True,High,21
2023-02-28 17:00:00,Product,Instagram,147.9,10.16,1,Returning,Discounted,Tuesday,1,2023-02-28,February,2023,05 PM,13.55708661417323,147.9,True,True,Medium,17
2023-09-17 18:00:00,Service,Online,132.77,0.0,0,New,Basic,Sunday,6,2023-09-17,September,2023,06 PM,132.77,132.77,False,False,Low,18
2023-12-27 07:00:00,Product,Instagram,14.64,17.38,3,Returning,Discounted,Wednesday,2,2023-12-27,December,2023,07 AM,-0.15765247410817024,4.88,True,True,Medium,7
2023-06-27 11:00:00,Service,Online,62.76,0.0,0,Returning,Premium,Tuesday,1,2023-06-27,June,2023,11 AM,62.76,62.76,False,False,Low,11
2023-02-11 07:00:00,Product,Instagram,186.78,20.67,2,Returning,Premium,Saturday,5,2023-02-11,February,2023,07 AM,8.036284470246734,93.39,True,True,High,7
2023-05-25 12:00:00,Service,Google Ads,120.83,26.03,2,Returning,Premium,Thursday,3,2023-05-25,May,2023,12 PM,3.6419515943142526,60.415,True,True,High,12
2023-10-31 14:00:00,Service,Facebook,113.54,18.42,3,Returning,Discounted,Tuesday,1,2023-10-31,October,2023,02 PM,5.163952225841476,37.84666666666667,True,True,Medium,14
2023-03-09 19:00:00,Service,Facebook,75.42,14.17,3,New,Basic,Thursday,3,2023-03-09,March,2023,07 PM,4.322512350035286,25.14,True,True,Medium,19
2023-10-28 20:00:00,Service,In-Store,70.67,0.0,0,New,Basic,Saturday,5,2023-10-28,October,2023,08 PM,70.67,70.67,False,False,Low,20
2023-06-26 10:00:00,Product,Online,137.06,0.0,0,New,Premium,Monday,0,2023-06-26,June,2023,10 AM,137.06,137.06,False,False,Low,10
2023-10-19 12:00:00,Service,Instagram,97.11,23.39,2,New,Discounted,Thursday,3,2023-10-19,October,2023,12 PM,3.151774262505344,48.555,True,True,High,12
2023-11-15 14:00:00,Service,Facebook,13.15,19.64,2,New,Premium,Wednesday,2,2023-11-15,November,2023,02 PM,-0.3304480651731161,6.575,True,True,Medium,14
2023-08-28 15:00:00,Product,Google Ads,161.25,0.29,2,Returning,Discounted,Monday,0,2023-08-28,August,2023,03 PM,555.0344827586208,80.625,True,True,Low,15
2023-06-23 19:00:00,Service,Instagram,115.42,25.1,0,New,Premium,Friday,4,2023-06-23,June,2023,07 PM,3.5984063745019914,115.42,True,False,High,19
2023-03-06 14:00:00,Service,Online,48.65,0.0,0,Returning,Basic,Monday,0,2023-03-06,March,2023,02 PM,48.65,48.65,False,False,Low,14
2023-07-09 09:00:00,Service,In-Store,123.78,0.0,0,Returning,Premium,Sunday,6,2023-07-09,July,2023,09 AM,123.78,123.78,False,False,Low,9
2023-06-27 09:00:00,Service,Google Ads,145.87,27.9,0,New,Basic,Tuesday,1,2023-06-27,June,2023,09 AM,4.22831541218638,145.87,True,False,High,9
2023-11-17 15:00:00,Product,Google Ads,111.66,26.9,2,New,Premium,Friday,4,2023-11-17,November,2023,03 PM,3.1509293680297397,55.83,True,True,High,15
2023-06-23 09:00:00,Product,Online,87.95,0.0,0,Returning,Discounted,Friday,4,2023-06-23,June,2023,09 AM,87.95,87.95,False,False,Low,9
2023-01-21 11:00:00,Service,Online,120.95,0.0,0,New,Discounted,Saturday,5,2023-01-21,January,2023,11 AM,120.95,120.95,False,False,Low,11
